Marca,Modelo,Ano-modelo,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12,Mes 13,Mes 14,Mes 15,Mes 16,Mes 17,Mes 18,Mes 19,Mes 20,Mes 21,Mes 22,Mes 23,Mes 24,Mes 25,Mes 26,Mes 27,Mes 28,Mes 29,Mes 30,Mes 31,Mes 32,Mes 33,Mes 34,Mes 35,Mes 36
Mini,COOPER Countryman S ALL4 1.6 Aut.,2016,NaN,NaN,NaN,"155,699.00","155,044.00","154,588.00","154,376.00","152,100.00","151,853.00","148,978.00","147,070.00","145,131.00","141,683.00","138,376.00","138,067.00","134,793.00","133,926.00","130,045.00","131,407.00","133,136.00","133,819.00","133,671.00","131,155.00","128,787.00","130,465.00","132,228.00","132,483.00","133,023.00","130,565.00","132,344.00","133,931.00","131,473.00","129,084.00","126,737.00","124,255.00","122,320.00"
Mini,COOPER Countryman S ALL4 1.6 Aut.,2015,"50,620.00","50,585.00","50,352.00","50,125.00","49,888.00","49,732.00","49,150.00","49,200.00","49,316.00","49,405.00","49,505.00","49,802.00","49,966.00","48,780.00","48,684.00","49,819.00","49,965.00","50,316.00","50,235.00","50,578.00","49,929.00","50,627.00","50,712.00","51,385.00","51,369.00","51,121.00","50,877.00","51,556.00","52,244.00","52,260.00","51,958.00","51,882.00","51,726.00","51,567.00","50,633.00","50,749.00"
Mini,COOPER Countryman S ALL4 1.6 Aut.,2016,"51,630.00","51,690.00","51,791.00","51,868.00","51,939.00","52,455.00","53,117.00","53,326.00","151,853.00","148,978.00","147,070.00","145,131.00","141,683.00","138,376.00","138,067.00","134,793.00","133,926.00","130,045.00","131,407.00","133,136.00","133,819.00","133,671.00","131,155.00","128,787.00","130,465.00","132,228.00","132,483.00","133,023.00","130,565.00","132,344.00","133,931.00","131,473.00","129,084.00","126,737.00","124,255.00","122,320.00"
Mini,COOPER Countryman S ALL4 1.6 Aut.,2016,"51,630.00","51,690.00","51,791.00","51,868.00","51,939.00","52,455.00","53,117.00","53,326.00","53,164.00","53,126.00","53,202.00","53,190.00","53,181.00","53,175.00","53,003.00","53,703.00","54,412.00","54,380.00","53,985.00","54,695.00","54,643.00","55,106.00","54,060.00","54,782.00","55,533.00","55,531.00","55,491.00","55,329.00","56,089.00","56,825.00","57,571.00","57,356.00","56,208.00","56,363.00","55,820.00","55,766.00"
Mini,COOPER Countryman S ALL4 1.6 Aut.,2017,"54,890.00","54,889.00","54,755.00","55,487.00","56,228.00","56,070.00","55,830.00","56,591.00","56,981.00","57,106.00","56,998.00","57,774.00","57,714.00","57,692.00","57,489.00","57,481.00","58,229.00","58,950.00","59,550.00","59,135.00","57,952.00","58,729.00","59,500.00","60,002.00","58,500.00","57,068.00","56,730.00","56,670.00","56,659.00","56,067.00","56,978.00",NaN,NaN,NaN,NaN,NaN
Mitsubishi,L200 Triton HPE 3.5 CD V6 24V Flex Aut.,2015,"96,570.00","96,520.00","95,290.00","95,450.00","94,446.00","94,212.00","95,480.00","95,520.00","95,702.00","95,850.00","94,185.00","92,079.00","90,234.00","90,679.00","90,619.00","88,592.00","87,985.00","85,882.00","85,781.00","84,207.00","85,128.00","85,896.00","85,532.00","84,331.00","83,289.00","82,468.00","83,149.00","84,312.00","82,851.00","82,767.00","82,733.00","81,831.00","80,300.00","81,400.00","82,733.00","82,711.00"
Mitsubishi,L200 Triton HPE 3.5 CD V6 24V Flex Aut.,2016,"100,860.00","102,147.00","100,146.00","102,010.00","101,625.00","101,810.00","100,615.00","98,526.00","99,173.00","99,984.00","98,662.00","97,445.00","97,250.00","98,339.00","97,474.00","98,386.00","99,306.00","96,464.00","98,234.00","95,418.00","93,629.00","92,390.00","93,602.00","94,826.00","96,067.00","97,411.00","97,609.00","98,467.00","99,768.00","100,486.00","99,844.00","97,050.00","95,109.00","96,418.00","94,542.00","94,725.00"
Mitsubishi,L200 Triton HPE 3.5 CD V6 24V Flex Aut.,2017,"114,221.00","115,576.00","114,562.00","116,074.00","115,898.00","115,414.00","116,897.00","116,799.00","118,392.00","116,382.00","114,246.00","112,083.00","113,567.00","111,499.00","111,039.00","108,947.00","108,174.00","106,966.00","106,631.00","104,615.00","102,704.00","102,810.00","101,117.00","100,535.00","98,933.00","98,497.00","98,191.00","97,834.00","97,724.00","96,348.00","95,095.00","93,625.00","92,496.00","91,084.00","89,984.00","88,548.00"
Mitsubishi,L200 Triton Savana 3.2 CD TBI Dies. Mec.,2015,"108,125.00","108,320.00","106,550.00","107,904.00","107,055.00","107,588.00","108,780.00","108,950.00","109,230.00","109,918.00","107,982.00","105,737.00","105,757.00","105,090.00","104,198.00","101,992.00","102,298.00","104,694.00","101,135.00","101,882.00","100,654.00","101,867.00","101,463.00","100,143.00","97,741.00","98,869.00","99,251.00","96,872.00","94,759.00","92,588.00","91,279.00","91,102.00","89,385.00","88,615.00","88,588.00","89,784.00"
Mitsubishi,L200 Triton Savana 3.2 CD TBI Dies. Mec.,2016,"119,397.00","119,545.00","113,120.00","112,748.00","112,860.00","112,458.00","110,020.00","110,784.00","112,232.00","112,080.00","111,233.00","109,637.00","111,051.00","112,298.00","112,583.00","109,981.00","107,439.00","105,930.00","105,550.00","104,343.00","105,718.00","107,183.00","105,238.00","103,327.00","104,685.00","106,048.00","106,240.00","107,685.00","109,101.00","110,600.00","110,911.00","107,755.00","105,599.00","103,689.00","101,837.00","104,024.00"
