Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
128380.0,132146.25,3766.25,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
127355.0,132226.9375,4871.9375,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
126636.0,132172.765625,5536.765625,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
123831.0,131985.49609375,8154.49609375,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
125992.0,131639.9541015625,5647.9541015625,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
124359.0,131656.03361002603,7297.033610026032,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
124123.0,131675.28641086153,7552.286410861532,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
123752.0,131701.06027843335,7949.060278433346,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
123033.0,131734.06530163612,8701.065301636118,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
123869.0,131777.7374101058,7908.737410105794,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
120907.0,131907.54886094795,11000.54886094795,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118963.0,131894.01126602694,12931.011266026937,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
117588.0,131876.42887152918,14288.428871529177,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118382.0,131853.94377748994,13471.943777489942,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
116137.0,131822.86096728078,15685.86096728078,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
114386.0,131793.7022458042,17407.70224580419,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
111686.0,131777.71942514202,20091.719425142015,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
110188.0,131789.19986877366,21601.199868773663,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
109584.0,131800.2970570026,22216.29705700261,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
109679.0,131810.7146108477,22131.714610847703,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
107697.0,131819.85247188224,24122.852471882245,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
107241.0,131827.0014027361,24586.00140273609,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
139663.0,140360.66666666666,697.666666666657,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
139555.0,140553.30555555556,998.305555555562,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
137357.0,140741.16435185185,3384.164351851854,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
139279.0,141041.4280478395,1762.428047839494,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
138262.0,141096.04705182614,2834.0470518261427,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
137613.0,141116.134306145,3503.134306144988,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
