Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
59,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,308157.9330299275,310380.8999971895,312781.58627036045,314904.8694832009,317182.447724396,Mês 13 - Mês 24,319723.89131190465,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
71,306299.0,305078.0,309097.0,310120.0,314324.0,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,Mês 2 - Mês 13,316305.9242424242,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
72,305078.0,309097.0,310120.0,314324.0,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,Mês 3 - Mês 14,315907.3383838384,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
73,309097.0,310120.0,314324.0,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,Mês 4 - Mês 15,314662.0303795531,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
74,310120.0,314324.0,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,Mês 5 - Mês 16,313361.89220487705,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
75,314324.0,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,Mês 6 - Mês 17,311592.41871229897,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
76,318567.0,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,Mês 7 - Mês 18,309977.5195613671,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
77,322798.0,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,Mês 8 - Mês 19,308848.5137822929,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
78,320121.0,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,308848.5137822929,Mês 9 - Mês 20,308631.088521041,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
79,320255.0,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,308848.5137822929,308631.088521041,Mês 10 - Mês 21,308407.40724320675,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
80,318996.0,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,308848.5137822929,308631.088521041,308407.40724320675,Mês 11 - Mês 22,308659.8584854412,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
81,310234.0,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,308848.5137822929,308631.088521041,308407.40724320675,308659.8584854412,Mês 12 - Mês 23,309267.9264791837,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
82,301852.0,316305.9242424242,315907.3383838384,314662.0303795531,313361.89220487705,311592.41871229897,309977.5195613671,308848.5137822929,308631.088521041,308407.40724320675,308659.8584854412,309267.9264791837,Mês 13 - Mês 24,308689.9023578658,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
94,131650.0,131610.0,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,Mês 1 - Mês 12,131168.5,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
95,131610.0,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,Mês 2 - Mês 13,130778.90909090907,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
96,131178.0,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,Mês 3 - Mês 14,130272.85606060606,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
97,132877.0,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,Mês 4 - Mês 15,129544.25918273648,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
98,134420.0,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,Mês 5 - Mês 16,128974.33352464034,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
99,136132.0,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,Mês 6 - Mês 17,128693.2238964484,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
100,131447.0,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,Mês 7 - Mês 18,128929.09286834528,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
101,131425.0,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,Mês 8 - Mês 19,128587.92313861151,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
102,131366.0,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,Mês 9 - Mês 20,128242.8138231327,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
103,131305.0,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,Mês 10 - Mês 21,127899.11095679978,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
104,131210.0,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,127899.11095679978,Mês 11 - Mês 22,127569.8640824559,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
105,130220.0,131168.5,130778.90909090907,130272.85606060606,129544.25918273648,128974.33352464034,128693.2238964484,128929.09286834528,128587.92313861151,128242.8138231327,127899.11095679978,127569.8640824559,Mês 12 - Mês 23,127265.5298731732,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118,138049.0,138299.0,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,Mês 1 - Mês 12,143131.80303030304,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
119,138299.0,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,Mês 2 - Mês 13,143565.1616161616,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
120,137138.0,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,Mês 3 - Mês 14,143964.96686562593,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
121,140386.0,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,Mês 4 - Mês 15,144012.39682175286,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
122,140855.0,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,Mês 5 - Mês 16,144454.28978451484,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
123,140664.0,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,Mês 6 - Mês 17,144978.1290308451,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
124,140620.0,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,Mês 7 - Mês 18,145472.462126656,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125,140266.0,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,145472.462126656,Mês 8 - Mês 19,145926.14281360782,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
126,140550.0,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,145472.462126656,145926.14281360782,Mês 9 - Mês 20,146235.39302681683,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127,142336.0,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,145472.462126656,145926.14281360782,146235.39302681683,Mês 10 - Mês 21,146450.6898498709,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
128,143525.0,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,145472.462126656,145926.14281360782,146235.39302681683,146450.6898498709,Mês 11 - Mês 22,146858.17380969375,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129,141640.0,143131.80303030304,143565.1616161616,143964.96686562593,144012.39682175286,144454.28978451484,144978.1290308451,145472.462126656,145926.14281360782,146235.39302681683,146450.6898498709,146858.17380969375,Mês 12 - Mês 23,147466.66652052398,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
