Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
219,152769.0,156728.23245351433,0.0259164650780873,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
220,151261.0,156670.16849130718,0.0357604966997916,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
228,163697.0,166519.08333333334,0.0172396765568907,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
229,163867.0,166567.84027777778,0.0164819047018483,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
230,164015.0,166689.74363425927,0.0163079208258956,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
231,164126.0,166877.8889371142,0.0167669286835371,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
232,166998.0,167082.04634854037,0.0005032775754223,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
233,163577.0,167190.21687758542,0.0220887831271231,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
234,162500.0,167287.31828405085,0.0294604202095437,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
235,161508.0,167386.26147438845,0.0363961009633482,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
236,160538.0,167303.0332639208,0.0421397629465971,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
237,159590.0,167252.45270258086,0.0480133636354462,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
238,160325.0,167008.6570944626,0.0416881777293784,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
239,159395.0,166874.12851900115,0.0469219769691719,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
252,141697.0,153792.33333333334,0.0853605463300799,Mês 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
253,138508.0,153448.86111111112,0.1078700227503907,Mês 14,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
254,135369.0,153059.2662037037,0.1306818119636232,Mês 15,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
255,132320.0,152614.37172067902,0.1533734259422537,Mês 16,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
256,129185.0,152298.31936406894,0.1789164327442732,Mês 17,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
257,129733.0,152055.262644408,0.1720631037932369,Mês 18,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
258,124673.0,151887.95119810867,0.2182906579460562,Mês 19,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
259,124558.0,151706.9471312844,0.217962291713775,Mês 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
260,122922.0,151461.6927255581,0.2321772565168,Mês 21,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
261,121423.0,151429.66711935462,0.2471250678978004,Mês 22,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
262,120032.0,151447.88937930082,0.2617292836851908,Mês 23,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
