X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
56819.899997589775,56603.89498579701,56333.43830351623,56213.6675005147,56232.36226453467,56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,Mês 19 - Mês 30,54812.99159784107,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
56603.89498579701,56333.43830351623,56213.6675005147,56232.36226453467,56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,54812.99159784107,Mês 20 - Mês 31,54657.41757452556,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
56333.43830351623,56213.6675005147,56232.36226453467,56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,54812.99159784107,54657.41757452556,Mês 21 - Mês 32,54495.38940759197,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
56213.6675005147,56232.36226453467,56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,54812.99159784107,54657.41757452556,54495.38940759197,Mês 22 - Mês 33,54310.45849837571,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
56232.36226453467,56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,54812.99159784107,54657.41757452556,54495.38940759197,54310.45849837571,Mês 23 - Mês 34,54122.02570193207,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
56095.71282108334,55785.87588445727,55617.31709967796,55452.631413929375,55291.66378862251,55128.76946942898,54968.866690042894,54812.99159784107,54657.41757452556,54495.38940759197,54310.45849837571,54122.02570193207,Mês 24 - Mês 35,53961.25702944202,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2017.0
59504.0,59258.0,59103.0,58946.0,59723.0,60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,Mês 1 - Mês 12,59499.393939393936,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59258.0,59103.0,58946.0,59723.0,60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,Mês 2 - Mês 13,59478.131313131315,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
59103.0,58946.0,59723.0,60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,Mês 3 - Mês 14,59397.80869299051,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
58946.0,59723.0,60468.0,61250.0,59495.0,58992.0,59010.0,59834.0,58899.0,59499.393939393936,59478.131313131315,59397.80869299051,Mês 4 - Mês 15,59247.827109478625,Mitsubishi,Lancer 2.0 16V 160cv Mec.,2018.0
