Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
59,278694.0,283211.09046099515,0.016208064978058923,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
60,271707.0,282303.9313327448,0.0390013188204381,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
61,268950.0,282514.88394380687,0.05043645266334586,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
62,271707.0,282730.37774467963,0.04057082719502858,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
63,271707.0,282917.9546516437,0.04126119184137213,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
64,268242.0,283064.78480876365,0.05525900048748388,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
65,266879.0,283156.11475143395,0.06099061653945778,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
66,262075.0,283206.36923448835,0.08063099965463454,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
67,259956.0,283202.10283450026,0.08942322098547545,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
68,254239.0,283159.8033592746,0.11375439393356085,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
69,252245.0,283099.8490907162,0.12232095419420096,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
70,248299.0,283027.02880962536,0.13986374818112585,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
71,300855.0,313145.0833333333,0.040850520461130156,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
72,299892.0,313715.5902777777,0.04609522854153393,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
73,298962.0,314435.3894675926,0.05175704426513264,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
74,307631.0,314880.25525655865,0.023564774865207513,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
75,306369.0,315276.9431946052,0.029075863401992946,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
76,313759.0,315356.35512748896,0.005091025683690226,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
77,318387.0,315088.80138811306,0.010359086934727042,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
78,314327.0,314446.3681704558,0.0003797579287041732,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
79,311110.0,313973.48218466045,0.009204082750989832,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
80,308847.0,313450.0223667155,0.01490389211070685,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
